"week","videos"
2019 week 52,1
2020 week 1,0
2020 week 2,0
2020 week 3,0
2020 week 4,2
2020 week 5,17
2020 week 6,3
2020 week 7,6
2020 week 8,5
2020 week 9,21
2020 week 10,23
2020 week 11,59
2020 week 12,79
2020 week 13,56
2020 week 14,36
2020 week 15,42
2020 week 16,39
2020 week 17,22
2020 week 18,31
2020 week 19,24
2020 week 20,18
2020 week 21,23
2020 week 22,17
2020 week 23,13
2020 week 24,12
2020 week 25,10
2020 week 26,8
2020 week 27,5
2020 week 28,12
2020 week 29,9
2020 week 30,7
2020 week 31,12
2020 week 32,12
2020 week 33,4
2020 week 34,5
2020 week 35,8
2020 week 36,7
2020 week 37,6
2020 week 38,4
2020 week 39,5
2020 week 40,7
2020 week 41,10
2020 week 42,14
2020 week 43,11
2020 week 44,18
2020 week 45,12